,run_name,mech_string,dataset_name,dataset,clean_name,target_rate,optimisation,drop,mem,emb,matrix,run_id,efficient_epochs,max pareto logged epoch,n_checkpoints,checkpoints
0,2021-05-20-rate-exp-fb-0.25-ptb-mem-emb-run-12:09:00,mem+emb,PTB,PTB,PTB | FB | mem+emb | Target rate: 0.25,0.25,FB,0.0,True,True,False,2ub2onw0,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",14,10,"['checkpoint-epoch-005-step-3510-iw-ll_089.pth', 'checkpoint-epoch-006-step-4095-iw-ll_088.pth', 'checkpoint-epoch-007-step-4680-iw-ll_088.pth', 'checkpoint-epoch-008-step-5265-iw-ll_088.pth', 'checkpoint-epoch-009-step-5850-iw-ll_088.pth', 'checkpoint-epoch-010-step-6435-iw-ll_090.pth', 'checkpoint-epoch-011-step-7020-iw-ll_089.pth', 'checkpoint-epoch-012-step-7605-iw-ll_090.pth', 'checkpoint-epoch-013-step-8190-iw-ll_090.pth', 'checkpoint-epoch-014-step-8775-iw-ll_091.pth']"
1,2021-05-20-rate-exp-fb-0.5-ptb-mem-emb-run-22:06:34,mem+emb,PTB,PTB,PTB | FB | mem+emb | Target rate: 0.5,0.5,FB,0.0,True,True,False,1gjoso4t,"[5, 7, 8, 9, 10, 11, 13]",14,7,"['checkpoint-epoch-005-step-3510-iw-ll_092.pth', 'checkpoint-epoch-007-step-4680-iw-ll_091.pth', 'checkpoint-epoch-008-step-5265-iw-ll_091.pth', 'checkpoint-epoch-009-step-5850-iw-ll_090.pth', 'checkpoint-epoch-010-step-6435-iw-ll_092.pth', 'checkpoint-epoch-011-step-7020-iw-ll_092.pth', 'checkpoint-epoch-013-step-8190-iw-ll_093.pth']"
2,2021-05-21-PTB | VAE | memory-embeddings-run-06:42:33,mem+emb,PTB,PTB,PTB | VAE | mem+emb | Target rate: 0.0,0.0,VAE,0.0,True,True,False,evvxxxs9,"[2, 4, 5, 6, 7, 8, 9, 10]",19,2,"['checkpoint-epoch-006-step-2303-iw-ll_086.pth', 'checkpoint-epoch-010-step-3619-iw-ll_088.pth']"
3,2021-05-21-rate-exp-fb-0.125-ptb-mem-emb-run-15:25:21,mem+emb,PTB,PTB,PTB | FB | mem+emb | Target rate: 0.125,0.125,FB,0.0,True,True,False,ecxb7fjl,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,10,"['checkpoint-epoch-004-step-2925-iw-ll_089.pth', 'checkpoint-epoch-005-step-3510-iw-ll_088.pth', 'checkpoint-epoch-006-step-4095-iw-ll_088.pth', 'checkpoint-epoch-007-step-4680-iw-ll_088.pth', 'checkpoint-epoch-008-step-5265-iw-ll_088.pth', 'checkpoint-epoch-009-step-5850-iw-ll_088.pth', 'checkpoint-epoch-010-step-6435-iw-ll_089.pth', 'checkpoint-epoch-011-step-7020-iw-ll_089.pth', 'checkpoint-epoch-012-step-7605-iw-ll_090.pth', 'checkpoint-epoch-013-step-8190-iw-ll_090.pth']"
4,2021-05-21-rate-exp-fb-1.0-ptb-mem-emb-run-06:58:25,mem+emb,PTB,PTB,PTB | FB | mem+emb | Target rate: 1.0,1.0,FB,0.0,True,True,False,fik6meti,"[5, 9, 10, 11, 12, 13]",14,6,"['checkpoint-epoch-005-step-3510-iw-ll_100.pth', 'checkpoint-epoch-009-step-5850-iw-ll_098.pth', 'checkpoint-epoch-010-step-6435-iw-ll_099.pth', 'checkpoint-epoch-011-step-7020-iw-ll_098.pth', 'checkpoint-epoch-012-step-7605-iw-ll_099.pth', 'checkpoint-epoch-013-step-8190-iw-ll_099.pth']"
5,2021-05-22-rate-exp-fb-0.75-ptb-mem-emb-run-12:57:25,mem+emb,PTB,PTB,PTB | FB | mem+emb | Target rate: 0.75,0.75,FB,0.0,True,True,False,1sudkalh,"[5, 8, 9, 10, 11, 12, 13]",14,7,"['checkpoint-epoch-005-step-3510-iw-ll_095.pth', 'checkpoint-epoch-008-step-5265-iw-ll_094.pth', 'checkpoint-epoch-009-step-5850-iw-ll_094.pth', 'checkpoint-epoch-010-step-6435-iw-ll_096.pth', 'checkpoint-epoch-011-step-7020-iw-ll_095.pth', 'checkpoint-epoch-012-step-7605-iw-ll_096.pth', 'checkpoint-epoch-013-step-8190-iw-ll_095.pth']"
6,2021-05-31-rate-exp-mdr-0.125-ptb-mem-emb-run-13:39:49,mem+emb,PTB,PTB,PTB | MDR | mem+emb | Target rate: 0.125,0.125,MDR,0.0,True,True,False,2b9v0lqq,"[4, 5, 6, 7, 8, 9, 10, 11, 13, 14]",14,10,"['checkpoint-epoch-004-step-2925-iw-ll_089.pth', 'checkpoint-epoch-005-step-3510-iw-ll_088.pth', 'checkpoint-epoch-006-step-4095-iw-ll_087.pth', 'checkpoint-epoch-007-step-4680-iw-ll_087.pth', 'checkpoint-epoch-008-step-5265-iw-ll_087.pth', 'checkpoint-epoch-009-step-5850-iw-ll_087.pth', 'checkpoint-epoch-010-step-6435-iw-ll_089.pth', 'checkpoint-epoch-011-step-7020-iw-ll_088.pth', 'checkpoint-epoch-013-step-8190-iw-ll_089.pth', 'checkpoint-epoch-014-step-8775-iw-ll_090.pth']"
7,2021-06-01-rate-exp-mdr-0.25-ptb-mem-emb-run-06:09:47,mem+emb,PTB,PTB,PTB | MDR | mem+emb | Target rate: 0.25,0.25,MDR,0.0,True,True,False,1eo4bama,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",14,10,"['checkpoint-epoch-005-step-3510-iw-ll_089.pth', 'checkpoint-epoch-006-step-4095-iw-ll_088.pth', 'checkpoint-epoch-007-step-4680-iw-ll_088.pth', 'checkpoint-epoch-008-step-5265-iw-ll_087.pth', 'checkpoint-epoch-009-step-5850-iw-ll_087.pth', 'checkpoint-epoch-010-step-6435-iw-ll_089.pth', 'checkpoint-epoch-011-step-7020-iw-ll_088.pth', 'checkpoint-epoch-012-step-7605-iw-ll_088.pth', 'checkpoint-epoch-013-step-8190-iw-ll_089.pth', 'checkpoint-epoch-014-step-8775-iw-ll_090.pth']"
8,2021-06-01-rate-exp-mdr-0.5-ptb-mem-emb-run-17:45:27,mem+emb,PTB,PTB,PTB | MDR | mem+emb | Target rate: 0.5,0.5,MDR,0.0,True,True,False,183vrtao,"[9, 11, 12, 13, 14]",14,5,"['checkpoint-epoch-009-step-5850-iw-ll_089.pth', 'checkpoint-epoch-011-step-7020-iw-ll_089.pth', 'checkpoint-epoch-012-step-7605-iw-ll_090.pth', 'checkpoint-epoch-013-step-8190-iw-ll_090.pth', 'checkpoint-epoch-014-step-8775-iw-ll_091.pth']"
9,2021-06-02-rate-exp-mdr-0.75-ptb-mem-emb-run-05:25:53,mem+emb,PTB,PTB,PTB | MDR | mem+emb | Target rate: 0.75,0.75,MDR,0.0,True,True,False,3b7ihbsh,"[10, 11, 12, 13, 14]",14,5,"['checkpoint-epoch-010-step-6435-iw-ll_094.pth', 'checkpoint-epoch-011-step-7020-iw-ll_092.pth', 'checkpoint-epoch-012-step-7605-iw-ll_093.pth', 'checkpoint-epoch-013-step-8190-iw-ll_093.pth', 'checkpoint-epoch-014-step-8775-iw-ll_093.pth']"
10,2021-06-03-rate-exp-cyc-fb-0.125-ptb-mem-emb-run-19:54:51,mem+emb,PTB,PTB,PTB | CYC-FB | mem+emb | Target rate: 0.125,0.125,CYC-FB,0.0,True,True,False,1hx0ezr2,"[2, 4, 5, 6, 7, 10]",13,6,"['checkpoint-epoch-002-step-1755-iw-ll_089.pth', 'checkpoint-epoch-004-step-2925-iw-ll_089.pth', 'checkpoint-epoch-005-step-3510-iw-ll_088.pth', 'checkpoint-epoch-006-step-4095-iw-ll_088.pth', 'checkpoint-epoch-007-step-4680-iw-ll_088.pth', 'checkpoint-epoch-010-step-6435-iw-ll_092.pth']"
11,2021-06-03-rate-exp-mdr-1.0-ptb-mem-emb-run-08:47:10,mem+emb,PTB,PTB,PTB | MDR | mem+emb | Target rate: 1.0,1.0,MDR,0.0,True,True,False,s0ebo90f,"[12, 13, 14]",14,3,"['checkpoint-epoch-012-step-7605-iw-ll_097.pth', 'checkpoint-epoch-013-step-8190-iw-ll_097.pth', 'checkpoint-epoch-014-step-8775-iw-ll_097.pth']"
12,2021-06-04-rate-exp-cyc-fb-0.25-ptb-mem-emb-run-05:56:18,mem+emb,PTB,PTB,PTB | CYC-FB | mem+emb | Target rate: 0.25,0.25,CYC-FB,0.0,True,True,False,2xclby9m,"[5, 7]",10,2,"['checkpoint-epoch-005-step-3510-iw-ll_089.pth', 'checkpoint-epoch-007-step-4680-iw-ll_090.pth']"
13,2021-06-04-rate-exp-cyc-fb-0.5-ptb-mem-emb-run-23:53:41,mem+emb,PTB,PTB,PTB | CYC-FB | mem+emb | Target rate: 0.5,0.5,CYC-FB,0.0,True,True,False,1kvl2b8y,"[5, 6, 8, 9, 10]",13,5,"['checkpoint-epoch-005-step-3510-iw-ll_093.pth', 'checkpoint-epoch-006-step-4095-iw-ll_092.pth', 'checkpoint-epoch-008-step-5265-iw-ll_094.pth', 'checkpoint-epoch-009-step-5850-iw-ll_094.pth', 'checkpoint-epoch-010-step-6435-iw-ll_097.pth']"
14,2021-06-05-PTB | AE | memory-embeddings-run-05:11:41,mem+emb,PTB,PTB,PTB | AE | mem+emb | Target rate: 0.0,0.0,AE,0.0,True,True,False,3juif3eq,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",19,5,"['checkpoint-epoch-015-step-5264-iw-ll_215.pth', 'checkpoint-epoch-017-step-5922-iw-ll_219.pth', 'checkpoint-epoch-019-step-6580-iw-ll_227.pth', 'checkpoint-epoch-018-step-6251-iw-ll_221.pth', 'checkpoint-epoch-014-step-4935-iw-ll_213.pth']"
15,2021-06-05-rate-exp-cyc-fb-0.75-ptb-mem-emb-run-10:36:55,mem+emb,PTB,PTB,PTB | CYC-FB | mem+emb | Target rate: 0.75,0.75,CYC-FB,0.0,True,True,False,13vv1ew9,"[4, 5, 6, 7, 9, 10]",13,6,"['checkpoint-epoch-004-step-2925-iw-ll_097.pth', 'checkpoint-epoch-005-step-3510-iw-ll_097.pth', 'checkpoint-epoch-006-step-4095-iw-ll_098.pth', 'checkpoint-epoch-007-step-4680-iw-ll_098.pth', 'checkpoint-epoch-009-step-5850-iw-ll_098.pth', 'checkpoint-epoch-010-step-6435-iw-ll_101.pth']"
16,2021-06-06-rate-exp-cyc-fb-1.0-ptb-mem-emb-run-07:34:20,mem+emb,PTB,PTB,PTB | CYC-FB | mem+emb | Target rate: 1.0,1.0,CYC-FB,0.0,True,True,False,knuii3o2,"[3, 5, 7, 9, 10]",13,5,"['checkpoint-epoch-003-step-2340-iw-ll_100.pth', 'checkpoint-epoch-005-step-3510-iw-ll_102.pth', 'checkpoint-epoch-007-step-4680-iw-ll_102.pth', 'checkpoint-epoch-009-step-5850-iw-ll_103.pth', 'checkpoint-epoch-010-step-6435-iw-ll_105.pth']"
17,2021-06-07-rate-exp-cyc-ptb-mem-emb-run-07:23:50,mem+emb,PTB,PTB,PTB | CYC | mem+emb | Target rate: 0.0,0.0,CYC,0.0,True,True,False,1aadlt0u,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14]",14,12,"['checkpoint-epoch-002-step-1755-iw-ll_089.pth', 'checkpoint-epoch-003-step-2340-iw-ll_088.pth', 'checkpoint-epoch-004-step-2925-iw-ll_089.pth', 'checkpoint-epoch-005-step-3510-iw-ll_088.pth', 'checkpoint-epoch-007-step-4680-iw-ll_088.pth', 'checkpoint-epoch-008-step-5265-iw-ll_087.pth', 'checkpoint-epoch-009-step-5850-iw-ll_088.pth', 'checkpoint-epoch-010-step-6435-iw-ll_089.pth', 'checkpoint-epoch-011-step-7020-iw-ll_089.pth', 'checkpoint-epoch-012-step-7605-iw-ll_089.pth', 'checkpoint-epoch-013-step-8190-iw-ll_090.pth', 'checkpoint-epoch-014-step-8775-iw-ll_090.pth']"
